
2026/07/11 (20:20:04) | WARNING: ROCm SMI: Failed to get device name
2026/07/11 (20:20:04) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/07/11 (20:20:04) | WARNING: ROCm SMI: Failed to get PCIe throughput

2026/07/11 (20:53:22) | ===> btop++ v.1.3.2
2026/07/11 (20:53:22) | WARNING: ROCm SMI: Failed to get device name
2026/07/11 (20:53:22) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/07/11 (20:53:22) | WARNING: ROCm SMI: Failed to get PCIe throughput
2026/07/11 (20:55:18) | WARNING: Failed to join _runner thread on exit!

2026/07/11 (20:55:22) | ===> btop++ v.1.3.2
2026/07/11 (20:55:22) | WARNING: ROCm SMI: Failed to get device name
2026/07/11 (20:55:22) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/07/11 (20:55:22) | WARNING: ROCm SMI: Failed to get PCIe throughput
2026/07/11 (20:55:30) | WARNING: Failed to join _runner thread on exit!

2026/07/11 (20:55:33) | ===> btop++ v.1.3.2
2026/07/11 (20:55:33) | WARNING: ROCm SMI: Failed to get device name
2026/07/11 (20:55:33) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/07/11 (20:55:33) | WARNING: ROCm SMI: Failed to get PCIe throughput
2026/07/11 (20:55:53) | WARNING: Failed to join _runner thread on exit!

2026/07/11 (21:01:30) | ===> btop++ v.1.3.2
2026/07/11 (21:01:30) | WARNING: ROCm SMI: Failed to get device name
2026/07/11 (21:01:30) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/07/11 (21:01:30) | WARNING: ROCm SMI: Failed to get PCIe throughput

2026/07/12 (22:18:51) | ===> btop++ v.1.3.2
2026/07/12 (22:18:51) | WARNING: ROCm SMI: Failed to get device name
2026/07/12 (22:18:51) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/07/12 (22:18:51) | WARNING: ROCm SMI: Failed to get PCIe throughput

2026/07/12 (22:54:51) | ===> btop++ v.1.3.2
2026/07/12 (22:54:51) | WARNING: ROCm SMI: Failed to get device name
2026/07/12 (22:54:51) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/07/12 (22:54:51) | WARNING: ROCm SMI: Failed to get PCIe throughput

2026/07/12 (23:44:21) | ===> btop++ v.1.3.2
2026/07/12 (23:44:21) | WARNING: ROCm SMI: Failed to get device name
2026/07/12 (23:44:21) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/07/12 (23:44:21) | WARNING: ROCm SMI: Failed to get PCIe throughput

2026/07/13 (09:54:15) | ===> btop++ v.1.3.2
2026/07/13 (09:54:15) | WARNING: ROCm SMI: Failed to get device name
2026/07/13 (09:54:15) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/07/13 (09:54:15) | WARNING: ROCm SMI: Failed to get PCIe throughput

2026/07/17 (00:04:07) | ===> btop++ v.1.3.2
2026/07/17 (00:04:07) | WARNING: ROCm SMI: Failed to get device name
2026/07/17 (00:04:07) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/07/17 (00:04:07) | WARNING: ROCm SMI: Failed to get PCIe throughput

2026/07/17 (10:35:09) | ===> btop++ v.1.3.2
2026/07/17 (10:35:09) | WARNING: ROCm SMI: Failed to get device name
2026/07/17 (10:35:09) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/07/17 (10:35:09) | WARNING: ROCm SMI: Failed to get PCIe throughput

2026/07/17 (10:45:51) | ===> btop++ v.1.3.2
2026/07/17 (10:45:51) | WARNING: ROCm SMI: Failed to get device name
2026/07/17 (10:45:51) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/07/17 (10:45:51) | WARNING: ROCm SMI: Failed to get PCIe throughput
2026/07/17 (10:49:04) | WARNING: Failed to join _runner thread on exit!

2026/07/17 (10:49:06) | ===> btop++ v.1.3.2
2026/07/17 (10:49:06) | WARNING: ROCm SMI: Failed to get device name
2026/07/17 (10:49:06) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/07/17 (10:49:06) | WARNING: ROCm SMI: Failed to get PCIe throughput
2026/07/17 (10:51:25) | ERROR: Invalid hex value: #165daf
2026/07/17 (10:51:30) | WARNING: Failed to join _runner thread on exit!

2026/07/17 (10:51:31) | ===> btop++ v.1.3.2
2026/07/17 (10:51:31) | WARNING: ROCm SMI: Failed to get device name
2026/07/17 (10:51:31) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/07/17 (10:51:31) | WARNING: ROCm SMI: Failed to get PCIe throughput
2026/07/17 (10:51:31) | ERROR: Invalid hex value: #165daf
2026/07/17 (10:51:34) | WARNING: Failed to join _runner thread on exit!

2026/07/17 (10:51:37) | ===> btop++ v.1.3.2
2026/07/17 (10:51:37) | WARNING: ROCm SMI: Failed to get device name
2026/07/17 (10:51:37) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/07/17 (10:51:37) | WARNING: ROCm SMI: Failed to get PCIe throughput
2026/07/17 (10:51:37) | ERROR: Invalid hex value: #165daf
2026/07/17 (10:51:39) | ERROR: Invalid hex value: #165daf
2026/07/17 (10:51:47) | ERROR: Invalid hex value: #165daf
2026/07/17 (10:53:08) | ERROR: Invalid hex value: #165daf
2026/07/17 (10:54:20) | ERROR: Invalid hex value: #165daf
2026/07/17 (10:55:08) | ERROR: Invalid hex value: #165daf
2026/07/17 (10:56:14) | WARNING: Failed to join _runner thread on exit!

2026/07/17 (10:56:15) | ===> btop++ v.1.3.2
2026/07/17 (10:56:15) | WARNING: ROCm SMI: Failed to get device name
2026/07/17 (10:56:15) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/07/17 (10:56:15) | WARNING: ROCm SMI: Failed to get PCIe throughput
2026/07/17 (10:56:15) | ERROR: Invalid hex value: #165daf
2026/07/17 (10:57:10) | WARNING: Failed to join _runner thread on exit!

2026/07/17 (10:57:11) | ===> btop++ v.1.3.2
2026/07/17 (10:57:11) | WARNING: ROCm SMI: Failed to get device name
2026/07/17 (10:57:11) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/07/17 (10:57:11) | WARNING: ROCm SMI: Failed to get PCIe throughput
2026/07/17 (10:57:11) | ERROR: Invalid hex value: #165daf
2026/07/17 (10:58:15) | WARNING: Failed to join _runner thread on exit!

2026/07/17 (10:58:16) | ===> btop++ v.1.3.2
2026/07/17 (10:58:16) | WARNING: ROCm SMI: Failed to get device name
2026/07/17 (10:58:16) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/07/17 (10:58:16) | WARNING: ROCm SMI: Failed to get PCIe throughput
2026/07/17 (10:58:16) | ERROR: Invalid hex value: #165daf
2026/07/17 (11:00:44) | ERROR: Invalid hex value: #165daf
2026/07/17 (11:01:25) | WARNING: Failed to join _runner thread on exit!

2026/07/17 (11:01:26) | ===> btop++ v.1.3.2
2026/07/17 (11:01:26) | WARNING: ROCm SMI: Failed to get device name
2026/07/17 (11:01:26) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/07/17 (11:01:26) | WARNING: ROCm SMI: Failed to get PCIe throughput
2026/07/17 (11:01:26) | ERROR: Invalid hex value: #165daf
2026/07/17 (11:02:24) | ERROR: Invalid hex value: #165daf
2026/07/17 (11:02:38) | WARNING: Failed to join _runner thread on exit!

2026/07/17 (11:02:39) | ===> btop++ v.1.3.2
2026/07/17 (11:02:39) | WARNING: ROCm SMI: Failed to get device name
2026/07/17 (11:02:39) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/07/17 (11:02:39) | WARNING: ROCm SMI: Failed to get PCIe throughput
2026/07/17 (11:02:39) | ERROR: Invalid hex value: #165daf
2026/07/17 (11:03:22) | WARNING: Failed to join _runner thread on exit!

2026/07/17 (11:03:23) | ===> btop++ v.1.3.2
2026/07/17 (11:03:23) | WARNING: ROCm SMI: Failed to get device name
2026/07/17 (11:03:23) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/07/17 (11:03:23) | WARNING: ROCm SMI: Failed to get PCIe throughput
2026/07/17 (11:03:23) | ERROR: Invalid hex value: #165daf
2026/07/17 (11:04:09) | WARNING: Failed to join _runner thread on exit!

2026/07/17 (11:04:13) | ===> btop++ v.1.3.2
2026/07/17 (11:04:13) | WARNING: ROCm SMI: Failed to get device name
2026/07/17 (11:04:13) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/07/17 (11:04:13) | WARNING: ROCm SMI: Failed to get PCIe throughput
2026/07/17 (11:04:13) | ERROR: Invalid hex value: #165daf
2026/07/17 (11:05:10) | ERROR: Invalid hex value: #165daf
2026/07/17 (11:05:41) | WARNING: Failed to join _runner thread on exit!

2026/07/17 (11:05:42) | ===> btop++ v.1.3.2
2026/07/17 (11:05:42) | WARNING: ROCm SMI: Failed to get device name
2026/07/17 (11:05:42) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/07/17 (11:05:42) | WARNING: ROCm SMI: Failed to get PCIe throughput
2026/07/17 (11:05:42) | ERROR: Invalid hex value: #1c75dc
2026/07/17 (11:06:20) | WARNING: Failed to join _runner thread on exit!

2026/07/17 (11:06:20) | ===> btop++ v.1.3.2
2026/07/17 (11:06:20) | WARNING: ROCm SMI: Failed to get device name
2026/07/17 (11:06:20) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/07/17 (11:06:20) | WARNING: ROCm SMI: Failed to get PCIe throughput
2026/07/17 (11:06:20) | ERROR: Invalid hex value: #1c75dc
2026/07/17 (11:06:58) | WARNING: Failed to join _runner thread on exit!

2026/07/17 (11:06:59) | ===> btop++ v.1.3.2
2026/07/17 (11:06:59) | WARNING: ROCm SMI: Failed to get device name
2026/07/17 (11:06:59) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/07/17 (11:06:59) | WARNING: ROCm SMI: Failed to get PCIe throughput
2026/07/17 (11:06:59) | ERROR: Invalid hex value: #1c75dc
2026/07/17 (11:07:09) | WARNING: Failed to join _runner thread on exit!

2026/07/17 (11:07:11) | ===> btop++ v.1.3.2
2026/07/17 (11:07:11) | WARNING: ROCm SMI: Failed to get device name
2026/07/17 (11:07:11) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/07/17 (11:07:11) | WARNING: ROCm SMI: Failed to get PCIe throughput
2026/07/17 (11:07:11) | ERROR: Invalid hex value: #1c75dc
2026/07/17 (11:08:50) | WARNING: Failed to join _runner thread on exit!

2026/07/17 (11:08:51) | ===> btop++ v.1.3.2
2026/07/17 (11:08:51) | WARNING: ROCm SMI: Failed to get device name
2026/07/17 (11:08:51) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/07/17 (11:08:51) | WARNING: ROCm SMI: Failed to get PCIe throughput
2026/07/17 (11:08:51) | ERROR: Invalid hex value: #1c75dc
2026/07/17 (11:09:36) | WARNING: Failed to join _runner thread on exit!

2026/07/17 (11:09:37) | ===> btop++ v.1.3.2
2026/07/17 (11:09:37) | WARNING: ROCm SMI: Failed to get device name
2026/07/17 (11:09:37) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/07/17 (11:09:37) | WARNING: ROCm SMI: Failed to get PCIe throughput
2026/07/17 (11:09:37) | ERROR: Invalid hex value: #1c75dc
